,ID,Group,Sex,Trial,CS,US,ISI
0,Rat1,A,Male,1,0.0,0.0,0.0
1,Rat1,A,Male,2,30.0,10.0,2.413793103448276
2,Rat1,A,Male,3,20.0,0.0,10.344827586206897
3,Rat1,A,Male,4,12.0,50.0,15.517241379310345
4,Rat1,A,Male,5,80.0,40.0,26.20689655172414
5,Rat2,A,Male,1,0.0,0.0,0.0
6,Rat2,A,Male,2,0.0,0.0,0.0
7,Rat2,A,Male,3,0.0,0.0,6.206896551724138
8,Rat2,A,Male,4,18.0,0.0,4.482758620689655
9,Rat2,A,Male,5,36.0,30.0,0.0
10,Rat3,A,Male,1,0.0,0.0,6.206896551724138
11,Rat3,A,Male,2,0.0,0.0,0.0
12,Rat3,A,Male,3,0.0,0.0,14.827586206896552
13,Rat3,A,Male,4,0.0,0.0,4.137931034482759
14,Rat3,A,Male,5,20.0,0.0,12.068965517241379
15,Rat4,A,Male,1,0.0,0.0,37.241379310344826
16,Rat4,A,Male,2,32.0,20.0,58.275862068965516
17,Rat4,A,Male,3,66.0,0.0,59.310344827586206
18,Rat4,A,Male,4,98.0,30.0,80.0
19,Rat4,A,Male,5,98.0,30.0,72.75862068965517
20,Rat5,A,Male,1,0.0,0.0,27.24137931034483
21,Rat5,A,Male,2,10.0,70.0,41.37931034482759
22,Rat5,A,Male,3,74.0,20.0,40.0
23,Rat5,A,Male,4,52.0,0.0,44.13793103448276
24,Rat5,A,Male,5,76.0,40.0,39.6551724137931
25,Rat6,A,Male,1,0.0,0.0,2.413793103448276
26,Rat6,A,Male,2,0.0,0.0,0.0
27,Rat6,A,Male,3,14.0,30.0,14.482758620689655
28,Rat6,A,Male,4,24.0,0.0,5.862068965517241
29,Rat6,A,Male,5,0.0,0.0,0.0
30,Rat7,A,Female,1,10.0,0.0,16.896551724137932
31,Rat7,A,Female,2,24.0,0.0,38.275862068965516
32,Rat7,A,Female,3,64.0,0.0,62.41379310344828
33,Rat7,A,Female,4,74.0,30.0,68.96551724137932
34,Rat7,A,Female,5,92.0,0.0,74.82758620689656
35,Rat8,A,Female,1,0.0,0.0,13.448275862068966
36,Rat8,A,Female,2,10.0,0.0,18.275862068965516
37,Rat8,A,Female,3,66.0,0.0,41.03448275862069
38,Rat8,A,Female,4,26.0,30.0,20.344827586206897
39,Rat8,A,Female,5,48.0,30.0,22.75862068965517
40,Rat9,A,Female,1,0.0,0.0,11.03448275862069
41,Rat9,A,Female,2,88.0,0.0,38.62068965517241
42,Rat9,A,Female,3,60.0,0.0,45.51724137931034
43,Rat9,A,Female,4,86.0,30.0,33.44827586206897
44,Rat9,A,Female,5,78.0,10.0,44.48275862068966
45,Rat10,A,Female,1,0.0,0.0,12.758620689655173
46,Rat10,A,Female,2,44.0,0.0,14.827586206896552
47,Rat10,A,Female,3,50.0,20.0,8.620689655172415
48,Rat10,A,Female,4,10.0,0.0,1.7241379310344827
49,Rat10,A,Female,5,10.0,0.0,20.689655172413794
50,Rat11,A,Female,1,0.0,0.0,0.0
51,Rat11,A,Female,2,0.0,0.0,0.0
52,Rat11,A,Female,3,0.0,0.0,0.0
53,Rat11,A,Female,4,0.0,0.0,0.0
54,Rat11,A,Female,5,0.0,0.0,4.827586206896552
55,Rat12,B,Male,1,0.0,0.0,5.517241379310345
56,Rat12,B,Male,2,0.0,0.0,15.172413793103448
57,Rat12,B,Male,3,10.0,0.0,8.620689655172415
58,Rat12,B,Male,4,38.0,0.0,25.517241379310345
59,Rat12,B,Male,5,0.0,70.0,38.96551724137931
60,Rat13,B,Male,1,0.0,0.0,4.137931034482759
61,Rat13,B,Male,2,14.0,10.0,40.3448275862069
62,Rat13,B,Male,3,46.0,0.0,33.10344827586207
63,Rat13,B,Male,4,80.0,30.0,43.44827586206897
64,Rat13,B,Male,5,64.0,30.0,49.310344827586206
65,Rat14,B,Male,1,0.0,0.0,11.03448275862069
66,Rat14,B,Male,2,18.0,0.0,14.827586206896552
67,Rat14,B,Male,3,74.0,20.0,42.758620689655174
68,Rat14,B,Male,4,90.0,60.0,34.48275862068966
69,Rat14,B,Male,5,66.0,30.0,22.06896551724138
70,Rat15,B,Male,1,0.0,0.0,10.344827586206897
71,Rat15,B,Male,2,86.0,0.0,24.482758620689655
72,Rat15,B,Male,3,80.0,20.0,10.0
73,Rat15,B,Male,4,14.0,60.0,50.689655172413794
74,Rat15,B,Male,5,94.0,30.0,49.310344827586206
75,Rat16,B,Male,1,10.0,0.0,0.0
76,Rat16,B,Male,2,0.0,0.0,0.0
77,Rat16,B,Male,3,0.0,0.0,0.0
78,Rat16,B,Male,4,0.0,0.0,0.0
79,Rat16,B,Male,5,0.0,0.0,1.7241379310344827
80,Rat17,B,Female,1,12.0,0.0,12.758620689655173
81,Rat17,B,Female,2,0.0,0.0,26.896551724137932
82,Rat17,B,Female,3,24.0,0.0,15.862068965517242
83,Rat17,B,Female,4,0.0,0.0,19.655172413793103
84,Rat17,B,Female,5,82.0,40.0,65.17241379310344
85,Rat18,B,Female,1,0.0,0.0,6.206896551724138
86,Rat18,B,Female,2,18.0,0.0,1.7241379310344827
87,Rat18,B,Female,3,24.0,0.0,23.448275862068964
88,Rat18,B,Female,4,74.0,30.0,17.93103448275862
89,Rat18,B,Female,5,10.0,0.0,0.0
90,Rat19,B,Female,1,0.0,0.0,37.241379310344826
91,Rat19,B,Female,2,60.0,20.0,26.896551724137932
92,Rat19,B,Female,3,64.0,20.0,37.58620689655172
93,Rat19,B,Female,4,70.0,0.0,27.93103448275862
94,Rat19,B,Female,5,0.0,0.0,20.689655172413794
95,Rat20,B,Female,1,0.0,0.0,5.172413793103448
96,Rat20,B,Female,2,18.0,20.0,33.793103448275865
97,Rat20,B,Female,3,88.0,20.0,39.6551724137931
98,Rat20,B,Female,4,90.0,40.0,19.310344827586206
99,Rat20,B,Female,5,56.0,0.0,44.48275862068966
100,Rat21,B,Female,1,10.0,0.0,6.206896551724138
101,Rat21,B,Female,2,0.0,0.0,16.20689655172414
102,Rat21,B,Female,3,84.0,40.0,58.62068965517241
103,Rat21,B,Female,4,92.0,30.0,52.41379310344828
104,Rat21,B,Female,5,100.0,50.0,7.931034482758621
